IDENT;LIBELLE;VEHICULE;VOIRIE;INSEE
B_LAM90_A;Lamartine;BUS;CHAUSSEE;33032
B_LAG12_A;Brossolette;BUS;CHAUSSEE_ACCESS;33281
B_RUE52_R;Ruet;BUS;CHAUSSEE;33200
B_LEB56_A;Léon Blum;BUS;CHAUSSEE;33069
B_BRA03_R;Quai de Brazza;BUS;CHAUSSEE_ACCESS;33063
B_LUC43_A;Primevères;BUS;CHAUSSEE;33192
B_RIC16_A;Rue Richelieu;BUS;CHAUSSEE;33063
B_DON09_R;Donnet;BUS;CHAUSSEE;33063
B_COT07_R;Avenue du Coteau;BUS;CHAUSSEE;33065
B_AS47_A;Les As;BUS;CHAUSSEE;33318
B_COM46_A;Combelongue;BUS;CHAUSSEE;33318
B_LMA93_R;Lamartine;BUS;CHAUSSEE;33096
B_LMOR5_R;La Morlette;BUS;CHAUSSEE;33119
B_JAU45_R;Jaubert;BUS;CHAUSSEE_ACCESS;33318
B_PRO75_A;Procession;BUS;CHAUSSEE_ACCESS;33281
B_AFR21_R;Anatole France;BUS;CHAUSSEE_ACCESS;33550
B_MAR46_A;Marne;BUS;CHAUSSEE_ACCESS;33318
B_CAY42_A;Prieuré de Cayac;BUS;HS_SEMI_INTEGRE;33192
B_SQM08_R;Square Monrepos;BUS;CHAUSSEE;33119
B_BAR93_A;Baraille;BUS;CHAUSSEE;33003
B_BOZ06_A;Berlioz;BUS;CHAUSSEE;33167
B_BER53_R;Berlincan;BUS;CHAUSSEE;33449
B_MOZ41_R;Place Mozart;BUS;CHAUSSEE_ACCESS;33522
B_AND80_A;Le Trinquet;BUS;CHAUSSEE;33318
B_JAC07_A;La Jacquotte;BUS;CHAUSSEE_ACCESS;33167
B_CIM91_R;Cimetière d'Ambès;BUS;CHAUSSEE;33004
B_POT64_A;Le Poteau;BUS;CHAUSSEE;33013
B_LAT09_R;Latule;BUS;CHAUSSEE_ACCESS;33063
B_LIE16_A;Lièges;BUS;CHAUSSEE_ACCESS;33063
B_SAL22_A;Salengro;BUS;CHAUSSEE_ACCESS;33039
B_MOU92_A;Domaine de Moulerin;BUS;CHAUSSEE;33032
B_PAS90_R;Pasteur;BUS;CHAUSSEE;33032
B_MOU64_R;La Moune;BUS;CHAUSSEE;33013
B_MAG03_A;Magendie;BUS;VOIE_PROTEGEE;33249
B_CET71_R;Cerema;BUS;CHAUSSEE_ACCESS;33449
B_CED06_R;Cèdres;BUS;CHAUSSEE;33167
B_19M91_A;19 Mars 1962;BUS;CHAUSSEE;33004
B_TOU34_R;Route de Toulouse;BUS;CHAUSSEE;33550
B_CAB08_R;Cabannes;BUS;CHAUSSEE;33167
B_BON92_R;Bonnet;BUS;CHAUSSEE;33004
B_CAUS5_A;Caussade;BUS;CHAUSSEE;33167
B_HIL02_A;Clos de Hilde;BUS;CHAUSSEE;33039
B_LAM92_R;La Motte;BUS;CHAUSSEE_ACCESS;33434
B_AUS27_R;Avenue Ausone;BUS;CHAUSSEE;33075
B_MON05_A;Côte de Monrepos;BUS;CHAUSSEE;33167
B_SRO27_A;St Romain;BUS;CHAUSSEE;33119
B_VAL48_A;Vallon;BUS;CHAUSSEE;33281
B_JEAH9_A;Jean Hameau;BUS;CHAUSSEE_ACCESS;33063
B_ALO55_R;Aloha;BUS;CHAUSSEE;33519
B_TYFA85;Tout y Faut;BUS;CHAUSSEE;33013
B_IND80_R;Parc Industriel;BUS;HS_INTEGRAL;33318
B_LES53_A;Lestage;BUS;CHAUSSEE_ACCESS;33449
B_MOU37_R;Jean Moulin;BUS;CHAUSSEE;33056
B_BOU03_A;Bouthier;BUS;HS_INTEGRAL;33063
B_EUR93_A;Europe;BUS;HS_INTEGRAL;33003
B_LIG94_R;Lignac;BUS;CHAUSSEE;33003
B_GAZ38_A;Peyronneaud;BUS;CHAUSSEE_ACCESS;33063
B_LIB92_R;Liberté;BUS;CHAUSSEE;33003
B_ZAH80_A;Z.A Haut-Vigneau;BUS;CHAUSSEE;33192
B_BAR38_R;Barrès;BUS;HS_INTEGRAL;33063
B_EDV06_A;Nougueys;BUS;CHAUSSEE_ACCESS;33167
B_VIR63_R;Virecourt;BUS;CHAUSSEE;33013
B_HIP53_R;Centre Hippique;BUS;CHAUSSEE;33449
B_HAM58_R;Hameau du Château;BUS;CHAUSSEE;33312
B_MUS92_R;Domaine de Muscadet;BUS;CHAUSSEE;33032
B_MAR05_R;Cenon Marègue;BUS;SURELEVE;33119
B_CAI90_R;Cailleau;BUS;CHAUSSEE;33032
B_BUR35_R;Le Burck;BUS;HS_INTEGRAL;33281
B_ALL38_A;Allende;BUS;CHAUSSEE;33249
B_JOF35_A;Maréchal Joffre;BUS;CHAUSSEE;33281
B_VI443_R;Village 4;BUS;CHAUSSEE_ACCESS;33318
B_BJU13_A;Barrière Judaïque;BUS;CHAUSSEE;33063
B_V234_R;Village 2;BUS;HS_SEMI_INTEGRE;33318
B_TBEAUS;Beausoleil;BUS;TERMINUS_ACCESS;33192
B_PBO07_R;Pont de Bouliac;BUS;CHAUSSEE;33065
B_PER54_A;Pérès;BUS;CHAUSSEE_ACCESS;33069
B_LYC21_R;Lycée Kastler;BUS;CHAUSSEE;33522
B_SOL42_R;Solarium;BUS;CHAUSSEE;33192
B_RAY32_A;Collège G.Rayet;BUS;CHAUSSEE;33167
B_REI42_R;Hameau de la Reine;BUS;CHAUSSEE_ACCESS;33192
B_ROS90_R;La Roseraie;BUS;CHAUSSEE;33032
B_19M91_R;19 Mars 1962;BUS;CHAUSSEE;33004
B_CLA75_R;Clarines;BUS;CHAUSSEE;33281
B_TOU51_A;Tourny;BUS;CHAUSSEE_ACCESS;33063
B_LAN58_A;Vassivey;BUS;CHAUSSEE;33312
B_ACA73_A;Acacias;BUS;CHAUSSEE;33281
B_LIN73_A;Lindbergh;BUS;CHAUSSEE;33281
B_CAY58_R;Caychac Bourg;BUS;HS_INTEGRAL;33056
B_PLA06_R;Les Plateaux;BUS;CHAUSSEE;33167
B_VIN03_A;Professeur Vincent;BUS;CHAUSSEE;33249
B_VIE58_A;Lot. de la Vieille Eglise;BUS;CHAUSSEE;33312
B_ARC02_R;Jeanne d'Arc;BUS;CHAUSSEE;33039
B_VHU91_R;St Louis de Montferrand (Victor Hugo);BUS;CHAUSSEE;33434
B_LAL63_R;La Lande;BUS;HS_SEMI_INTEGRE;33013
B_EGR63_R;Eglise Romane;BUS;CHAUSSEE;33013
B_PMA92_R;Le Petit Marais;BUS;HS_INTEGRAL;33487
B_RME76_A;Ste Germaine;BUS;CHAUSSEE;33069
B_PECH9_A;Barrière St Augustin;BUS;CHAUSSEE;33063
B_CHP08_R;Charles Perrens;BUS;CHAUSSEE;33063
B_JUL53_R;Julien;BUS;HS_INTEGRAL;33449
B_DUC27_R;Ducourneau;BUS;CHAUSSEE;33069
B_RAL51_R;Roger Allo;BUS;CHAUSSEE;33063
B_ALA49_R;Ecole Arnaud Lafon;BUS;HS_INTEGRAL;33281
B_DUP06_R;Dupas;BUS;HS_INTEGRAL;33063
B_CDEL9_R;Stade Chaban Delmas;BUS;CHAUSSEE;33063
B_MAT06_R;Mattéoti;BUS;HS_INTEGRAL;33063
B_MAM93_R;Mairie d'Ambarès;BUS;CHAUSSEE;33003
B_AUS34_R;Ausone;BUS;HS_SEMI_INTEGRE;33318
B_CMA07_R;Collège Claude Massé;BUS;CHAUSSEE;33003
B_PRA92_R;Jean Prat;BUS;HS_SEMI_INTEGRE;33003
B_BAR91_R;La Baranquine;BUS;CHAUSSEE_ACCESS;33032
B_LES93_A;Du Roy;BUS;CHAUSSEE;33003
B_MAR64_R;Mairie d'Artigues;BUS;CHAUSSEE_ACCESS;33013
B_AUS95_A;Ausone;BUS;CHAUSSEE;33096
B_8MA90_A;Mairie de Bassens;BUS;CHAUSSEE;33032
B_MRL93_R;Merle;BUS;CHAUSSEE;33003
B_MOE21_A;Monnet;BUS;CHAUSSEE;33550
B_CUR21_R;Curie;BUS;CHAUSSEE;33550
B_LAP67_A;La Prairie;BUS;CHAUSSEE;33013
B_CAS91_R;Castelneau;BUS;CHAUSSEE;33434
B_JOU91_R;Jourdane;BUS;CHAUSSEE;33434
B_JOU92_R;Les Prés de Jourdanne;BUS;CHAUSSEE_ACCESS;33434
B_PEG74_A;Péguy;BUS;CHAUSSEE;33032
B_FOU92_A;Le Fourat;BUS;CHAUSSEE;33004
B_BOU91_R;Le Bousquet;BUS;CHAUSSEE;33434
B_CHA91_R;La Gare de la Chapelle;BUS;CHAUSSEE;33004
B_LSM71;Lycée Sud Médoc;BUS;CHAUSSEE_ACCESS;33449
B_DOU91_R;Richelieu;BUS;CHAUSSEE;33032
B_LIB76_A;Mairie du Bouscat;BUS;CHAUSSEE;33069
B_GRO93_A;Les Garouilles;BUS;CHAUSSEE;33003
B_CHA91_A;La Gare de la Chapelle;BUS;CHAUSSEE;33004
B_PON93_A;Le Ponchut;BUS;CHAUSSEE;33003
B_VAN95_R;Vignau Anglade (Clos Favol);BUS;CHAUSSEE;33096
B_SBE48_R;Ste Bernadette;BUS;CHAUSSEE;33281
B_JOU01_A;Journu Auber;BUS;CHAUSSEE_ACCESS;33063
B_YVB58_R;Yvan Bric;BUS;CHAUSSEE;33312
B_VER93_A;Vergers;BUS;CHAUSSEE;33096
B_MGU92_R;Moulin du Gua;BUS;CHAUSSEE;33003
B_LHZ93_R;Stade Lachaze;BUS;CHAUSSEE;33003
B_LST93_R;Du Roy;BUS;CHAUSSEE;33003
B_AMB93_A;Ambarès Centre;BUS;CHAUSSEE_ACCESS;33003
B_BRE93_A;Barre;BUS;CHAUSSEE;33003
B_CIM71_A;Cimetière de St Médard;BUS;CHAUSSEE;33449
B_8MA37_R;8 Mai;BUS;CHAUSSEE;33056
B_PIE27_A;Boulevard Pierre 1er;BUS;CHAUSSEE;33063
B_DBL37_A;Dame Blanche;BUS;CHAUSSEE;33519
B_ROS90_A;La Roseraie;BUS;CHAUSSEE;33032
B_TER93_A;Terrasson;BUS;CHAUSSEE;33096
B_BLQ27_A;Blanqui;BUS;CHAUSSEE;33167
B_SOM90_A;Somme;BUS;CHAUSSEE;33032
B_POI27_A;Poirson;BUS;CHAUSSEE;33063
B_MAC90_A;Collège Manon Cormier;BUS;CHAUSSEE_ACCESS;33032
B_BRG92_A;Beauregard;BUS;CHAUSSEE;33004
B_DOU91_A;Richelieu;BUS;CHAUSSEE;33032
B_GEN91_A;St Exupéry;BUS;CHAUSSEE;33004
B_LAG92_A;La Gorp;BUS;CHAUSSEE_ACCESS;33003
B_BRT93_R;Barot;BUS;CHAUSSEE;33003
B_CIM75_A;Cimetière Intercommunal;BUS;HS_INTEGRAL;33281
B_SYB90_A;Sybille;BUS;CHAUSSEE;33032
B_PAI06_R;La Paix;BUS;CHAUSSEE;33167
B_DAN10_R;Alphonse Dupeux;BUS;CHAUSSEE_ACCESS;33063
B_MAR27_A;Marronniers;BUS;CHAUSSEE;33069
B_CHE07_A;Chemin de la Vie;BUS;CHAUSSEE_ACCESS;33003
B_CAY77_R;Caychac Eglise;BUS;CHAUSSEE;33056
B_CAI90_A;Cailleau;BUS;CHAUSSEE;33032
B_VIR63_A;Virecourt;BUS;CHAUSSEE;33013
B_COM95_A;Collège Manon Cormier;BUS;CHAUSSEE;33096
B_CSP94_A;Clos St Pierre;BUS;CHAUSSEE;33003
B_BRE93_R;Barre;BUS;CHAUSSEE;33003
B_AMB93_R;Ambarès Centre;BUS;CHAUSSEE_ACCESS;33003
B_HOU94_A;Hourcade;BUS;CHAUSSEE;33003
B_DHO94_A;Domaine d'Hostein;BUS;CHAUSSEE;33003
B_DBL37_R;Dame Blanche;BUS;CHAUSSEE;33519
B_CHE07_R;Chemin de la Vie;BUS;CHAUSSEE_ACCESS;33003
B_RAY16_R;Centre Commercial Mériadeck;BUS;CHAUSSEE;33063
B_FON20_A;Fonfrède;BUS;HS_INTEGRAL;33063
B_BEA95_R;Beauval;BUS;CHAUSSEE;33032
B_FOY93_A;Foyer Municipal;BUS;CHAUSSEE;33096
B_MAC90_R;Collège Manon Cormier;BUS;CHAUSSEE;33032
B_FUT93_R;Futaies;BUS;CHAUSSEE;33096
B_MJO90_A;Maréchal Joffre;BUS;CHAUSSEE;33032
B_MFR06_R;Mendès France;BUS;CHAUSSEE;33167
B_BOULI8;Bouliac Centre Commercial (Gabarre);BUS;CHAUSSEE;33167
B_JOF08_R;Maréchal Joffre;BUS;CHAUSSEE_ACCESS;33119
B_DUP03_A;Quai Dupeyron;BUS;CHAUSSEE_ACCESS;33249
B_BRI03_R;Lormont Bas (A. Briand);BUS;CHAUSSEE_ACCESS;33249
B_FOU07_R;Fourney;BUS;CHAUSSEE;33065
B_PGA57_A;Pont du Gail;BUS;CHAUSSEE;33075
B_FUT95_A;Futaies;BUS;CHAUSSEE;33096
B_CCB92_A;Collège de Carbon-Blanc;BUS;CHAUSSEE;33096
B_TRI95_A;Triviaux;BUS;CHAUSSEE;33096
B_LYP56_A;Lycée Charles Peguy;BUS;HS_INTEGRAL;33162
B_PVI57_A;Pont du Vigean;BUS;CHAUSSEE;33075
B_PVI57_R;Pont du Vigean;BUS;CHAUSSEE;33075
B_GAS57_A;Centre Tour de Gassies;BUS;VOIE_PROTEGEE;33075
B_ALL40_R;Allende;BUS;CHAUSSEE_ACCESS;33522
B_THO21_R;Thouars;BUS;TERMINUS;33550
B_VIC34;Victoire (Pasteur);BUS;TERMINUS;33063
B_LES43_A;Lestage;BUS;CHAUSSEE;33192
B_ERM43_A;L'Ermitage;BUS;CHAUSSEE;33192
B_CGR02_R;Domaine de la Plantation;BUS;CHAUSSEE;33550
B_PBOU_R;Porte de Bourgogne;BUS;CHAUSSEE;33063
B_MUS23_A;Musée d'Aquitaine;BUS;CHAUSSEE;33063
B_PIC83_A;Pic Vert;BUS;CHAUSSEE;33376
B_GAF16_A;G. Fauré;BUS;CHAUSSEE;33281
B_TRI16_A;Trianon;BUS;CHAUSSEE;33281
B_BLU16_A;Léon Blum;BUS;CHAUSSEE;33281
B_BOU44_R;Bougnard;BUS;CHAUSSEE;33318
B_CVL08_A;Collège Victor Louis;BUS;CHAUSSEE_ACCESS;33522
B_LYH21_R;Lycée Hôtelier;BUS;CHAUSSEE;33522
B_THO34_R;Thouars;BUS;CHAUSSEE;33550
B_STM93_A;Service Technique Municipal;BUS;CHAUSSEE;33096
B_CME92_A;Clemenceau;BUS;CHAUSSEE;33032
B_PEG92_A;Péguy;BUS;CHAUSSEE;33032
B_CIB92_A;Cité Bel Air;BUS;CHAUSSEE;33003
B_CLA92_A;Clanis;BUS;CHAUSSEE;33003
B_CLA92_R;Clanis;BUS;CHAUSSEE;33003
B_SDE93_A;St Denis;BUS;CHAUSSEE;33003
B_PEL94_A;Pelet;BUS;CHAUSSEE;33003
B_SUR94_A;Surin;BUS;CHAUSSEE_ACCESS;33487
B_CPA94_R;Clos Palu;BUS;HS_INTEGRAL;33487
B_PEY77_R;Peybois;BUS;HS_SEMI_INTEGRE;33056
B_MOR77_R;Cora Morton;BUS;CHAUSSEE;33056
B_MAL77_A;Malagène;BUS;CHAUSSEE;33056
B_MQU65_R;Montesquieu;BUS;CHAUSSEE;33056
B_GES82_R;Berles;BUS;CHAUSSEE_ACCESS;33200
B_BMO37_R;Bois de Mont;BUS;CHAUSSEE;33449
B_CFM37_A;Collège F.Mauriac;BUS;CHAUSSEE;33449
B_DAS37_A;Dassault;BUS;CHAUSSEE_ACCESS;33063
B_DAS37_R;Dassault;BUS;CHAUSSEE_ACCESS;33063
B_MER72_A;Mermoz;BUS;CHAUSSEE;33162
B_MLI52_A;Moulineau;BUS;CHAUSSEE_ACCESS;33162
B_MLI52_R;Moulineau;BUS;CHAUSSEE;33200
B_PEX40_A;Peixotto;BUS;TERMINUS;33522
B_MAL27_A;Malraux;BUS;CHAUSSEE;33075
B_COM76_R;Combes;BUS;CHAUSSEE;33069
B_COM76_A;Combes;BUS;CHAUSSEE;33069
B_CAN77_A;Canteret;BUS;CHAUSSEE;33056
B_PJUS16;Palais de Justice;BUS;CHAUSSEE;33063
B_CIM67_A;Cimetière Intercommunal;BUS;CHAUSSEE;33013
B_CLG58_A;Gare de Bruges;BUS;CHAUSSEE;33075
B_3CA58_A;Les 3 Cardinaux;BUS;HS_INTEGRAL;33063
B_MES43_A;Mésanges;BUS;CHAUSSEE;33192
B_MES43_R;Mésanges;BUS;CHAUSSEE;33192
B_PMA36_R;Parc de Mandavit;BUS;CHAUSSEE;33192
B_BGEN9_R;Barrière St Genès;BUS;CHAUSSEE;33063
B_BRE66_A;Jacques Brel;BUS;CHAUSSEE;33249
B_RN82_A;Euromédoc;BUS;CHAUSSEE_ACCESS;33376
B_CAP76_A;Capelle;BUS;CHAUSSEE_ACCESS;33069
B_CHA37_A;Charcot;BUS;CHAUSSEE_ACCESS;33056
B_CHA37_R;Charcot;BUS;CHAUSSEE_ACCESS;33056
B_PEU15_R;Place de l'Europe;BUS;CHAUSSEE_ACCESS;33063
B_ABR35_R;Aristide Briand;BUS;CHAUSSEE;33281
B_ESM20_A;Eglise St Martin;BUS;CHAUSSEE_ACCESS;33550
B_QUIN54;Quinconces;BUS;CHAUSSEE;33063
B_RIC38_R;Richaud;BUS;CHAUSSEE;33063
B_DOMR66;Domaine du Manoir;BUS;CHAUSSEE;33249
B_STAD67;Stade;BUS;CHAUSSEE;33013
B_RIC37_A;Richaud;BUS;CHAUSSEE;33063
B_CHO92_R;Cholet;BUS;CHAUSSEE_ACCESS;33434
B_4PA32_R;4 Pavillons;BUS;CHAUSSEE;33249
B_MAT62_A;Mattéoti;BUS;CHAUSSEE_ACCESS;33063
B_PEP77_A;Pépinières;BUS;CHAUSSEE;33056
B_EPI66_R;Epis;BUS;CHAUSSEE;33013
B_CHS90_R;Chemin du Sourd;BUS;CHAUSSEE;33096
B_CHB53_R;Allée de la Chambre;BUS;CHAUSSEE;33376
B_GAL53_R;Galips;BUS;CHAUSSEE_ACCESS;33376
B_GELES_R;Gelès;BUS;CHAUSSEE;33519
B_GOYA6_A;Goya;BUS;CHAUSSEE_ACCESS;33119
B_CLE32_R;Clemenceau;BUS;CHAUSSEE_ACCESS;33119
B_CLE32_A;Clemenceau;BUS;CHAUSSEE_ACCESS;33119
B_POR84_A;Pont de l'Orient;BUS;CHAUSSEE;33318
B_CHE58_R;Gare de Parempuyre;BUS;CHAUSSEE;33312
B_DAS24_A;Léonard de Vinci;BUS;HS_INTEGRAL;33318
B_ZAL44_R;Cazalet;BUS;CHAUSSEE;33318
B_PEY46_A;Peychotte;BUS;CHAUSSEE;33281
B_LPC81_R;Lycée Pape Clément;BUS;CHAUSSEE;33318
B_CCE81_R;Les Fauvettes;BUS;CHAUSSEE;33281
B_BIS39_A;Stade Cruchon;BUS;CHAUSSEE;33281
B_PFE82_R;Parc de Feydit;BUS;CHAUSSEE;33449
B_DAR71_R;Darwin;BUS;CHAUSSEE;33449
B_DAR71_A;Darwin;BUS;CHAUSSEE;33449
B_SIE71_A;Sieyès;BUS;CHAUSSEE;33449
B_SBE54_A;Simone de Beauvoir;BUS;CHAUSSEE;33162
B_BRU22_A;Brun;BUS;CHAUSSEE;33063
B_BRI57_A;Brion;BUS;CHAUSSEE;33075
B_CRE42_R;CREPS;BUS;CHAUSSEE;33522
B_LES51_R;Lestonnat;BUS;CHAUSSEE;33063
B_CHI84_A;Le Chiquet;BUS;CHAUSSEE;33318
B_QCA02_R;Quatre Castéra;BUS;CHAUSSEE;33039
B_EMA42_A;Ecole de Management;BUS;CHAUSSEE;33522
B_STA47_A;Rue du Stand;BUS;CHAUSSEE;33318
B_ACA03_R;Acacias;BUS;CHAUSSEE_ACCESS;33249
B_BON80_R;Boncour;BUS;CHAUSSEE;33318
B_ETA06_A;Etangs;BUS;CHAUSSEE;33167
B_PRA92_A;Jean Prat;BUS;CHAUSSEE;33003
B_REI42_A;Hameau de la Reine;BUS;CHAUSSEE;33192
B_SOU21_R;Parc Sourreil;BUS;CHAUSSEE_ACCESS;33550
B_RED36_R;Rue du Réduit;BUS;CHAUSSEE;33075
B_GEN21_A;La Générale;BUS;CHAUSSEE;33550
B_CNO27_A;Cimetière Nord;BUS;CHAUSSEE;33075
B_VRT06_R;Verts Coteaux;BUS;CHAUSSEE;33167
B_LBA49_R;Labatut;BUS;CHAUSSEE;33281
B_PEY02_A;Peyronnet;BUS;CHAUSSEE;33063
B_PNO93_A;Paulin de Nole;BUS;CHAUSSEE;33003
B_FOU46_A;Fougnet;BUS;CHAUSSEE;33318
B_PUY53_A;Puyo;BUS;CHAUSSEE;33449
B_PAE07_R;Parc de l'Etoile;BUS;CHAUSSEE;33065
B_LAU71_A;Lauba;BUS;CHAUSSEE;33449
B_ARS44_A;Arsonval;BUS;CHAUSSEE;33318
B_VHU71_A;Victor Hugo;BUS;CHAUSSEE;33449
B_REB06_R;Rébédech;BUS;CHAUSSEE;33167
B_CAUM5_R;Côte de Caumont;BUS;CHAUSSEE;33167
B_RAC54_R;Racine;BUS;CHAUSSEE_ACCESS;33063
B_CRE42_A;CREPS;BUS;CHAUSSEE;33522
B_GRA52_A;La Gravière;BUS;CHAUSSEE_ACCESS;33200
B_MOS16_A;Place Moscou;BUS;CHAUSSEE;33063
B_CHR53_A;Chemin du Roy;BUS;CHAUSSEE_ACCESS;33449
T_GARBEG_A;Gare De Begles;TRAM;QUAI;33039
T_PARCMU_R;Parc De Mussonville;TRAM;QUAI;33039
T_CHATAI_A;Chataigneraie;TRAM;QUAI;33318
T_CAPMET_R;Cap Metiers;TRAM;QUAI;33318
T_HOPHLV_R;Hopital Haut Leveque;TRAM;QUAI;33318
T_HOPHLV_A;Hopital Haut Leveque;TRAM;QUAI;33318
T_GARPES_R;Gare De Pessac Alouette;TRAM;QUAI;33318
T_GARPES_A;Gare De Pessac Alouette;TRAM;QUAI;33318
T_PARCX_V3;Parc Des Expositions - Nouveau Stade;TRAM;QUAI;33063
T_VAC_A;La Vache;TRAM;QUAI;33075
T_BQF_A;Gare De Blanquefort;TRAM;QUAI;33056
T_ARIST_R;Villenave Centre-Pont De La Maye;TRAM;QUAI;33550
T_FONDAU_A;Fondaudege - Museum;TRAM;QUAI;33063
T_BMEDOC_R;Barriere Du Medoc;TRAM;QUAI;33063
T_COURB_R;Courbet;TRAM;QUAI;33069
T_COURB_A;Courbet;TRAM;QUAI;33069
T_MAIBOU_R;Mairie Du Bouscat;TRAM;QUAI;33069
T_STEGER_R;Sainte Germaine;TRAM;QUAI;33069
T_STEGER_A;Sainte Germaine;TRAM;QUAI;33075
T_HIPPO_R;Hippodrome;TRAM;QUAI;33069
B_SBPICO;Picot;BUS;AUTRE;33162
B_DIE70_R;Diesel;BUS;CHAUSSEE;33281
B_PEL70_R;Domaine de Pelus;BUS;CHAUSSEE_ACCESS;33281
B_PYT70_A;Pythagore;BUS;CHAUSSEE;33281
B_PYT70_R;Pythagore;BUS;CHAUSSEE;33281
B_COM13_R;Combes;BUS;CHAUSSEE;33281
B_MIT13_A;François Mitterrand;BUS;HS_INTEGRAL;33281
B_PIS10_A;Piscine Grand Parc;BUS;CHAUSSEE_ACCESS;33063
B_BLA94_R;Blanchet;BUS;HS_INTEGRAL;33487
B_BEL16_A;Bel Air;BUS;CHAUSSEE;33063
B_BOI58_A;Villabois;BUS;CHAUSSEE_ACCESS;33075
B_MON56_A;Montalieu;BUS;CHAUSSEE;33162
B_CCO38_R;Reinson;BUS;CHAUSSEE;33063
B_LAR38_A;Laroque;BUS;CHAUSSEE;33063
B_LAC58_A;Parc des Lacs;BUS;CHAUSSEE;33056
B_VAS77_R;Parc des Oliviers;BUS;CHAUSSEE;33312
B_BZFR27;Zone de Fret;BUS;HS_INTEGRAL;33075
B_CAL92_R;Calmette;BUS;CHAUSSEE;33096
B_LAN95_R;Lannes (Collège Manon Cormier);BUS;CHAUSSEE;33096
B_LAN95_A;Lannes (Collège Manon Cormier);BUS;CHAUSSEE;33096
B_CAR03_R;Carriet;BUS;CHAUSSEE_ACCESS;33249
B_BA106_A;BA 106;BUS;HS_INTEGRAL;33281
B_ECM67_A;Echangeur du Moulinat;BUS;CHAUSSEE;33013
B_BUT67;Buttinière;BUS;TERMINUS;33249
B_CIC47_A;Cicéron;BUS;CHAUSSEE;33318
B_COV58_A;Colverts;BUS;CHAUSSEE_ACCESS;33312
B_LAB31_A;Labarde;BUS;CHAUSSEE;33063
B_GAREST;Gare St Jean;BUS;TERMINUS;33063
B_VIG01_R;Vigneau;BUS;CHAUSSEE;33281
B_DAG01_R;Lycée Daguin;BUS;CHAUSSEE;33281
B_AUB03_R;St Aubin Cimetière;BUS;CHAUSSEE_ACCESS;33376
B_TVILL3;Villepreux;BUS;HS_INTEGRAL;33376
B_TCAY06;Caychac;BUS;HS_INTEGRAL;33056
B_DOU10_A;Dourout;BUS;CHAUSSEE;33522
B_LEB33_A;8 Mai 1945;BUS;CHAUSSEE;33069
B_LEB33_R;8 Mai 1945;BUS;CHAUSSEE_ACCESS;33069
B_RCO07_R;René Coty;BUS;CHAUSSEE;33003
B_TPAR07;Parabelle;BUS;HS_INTEGRAL;33003
B_GUE30_A;Gustave Eiffel;BUS;CHAUSSEE_ACCESS;33281
B_GLA36_R;Grande Lande;BUS;CHAUSSEE;33192
B_LPL30_R;Laplace;BUS;CHAUSSEE;33281
B_LOG34_R;Logey;BUS;CHAUSSEE;33281
B_MSO01_R;Mérignac Soleil;BUS;CHAUSSEE_ACCESS;33281
B_4CH34_A;Quatre chemins;BUS;CHAUSSEE;33281
B_MEN34_R;Mendès France;BUS;CHAUSSEE;33039
B_PAP34_R;Denis Papin;BUS;HS_ACCES;33039
B_LOR36_R;Mairie de Gradignan;BUS;CHAUSSEE;33192
B_BRU25_R;Bruca;BUS;CHAUSSEE;33550
B_HLV44_A;Boulevard du Haut Livrac;BUS;CHAUSSEE;33318
B_VIL44_R;Villeneuve;BUS;CHAUSSEE;33318
B_COJ36_A;Courréjean;BUS;CHAUSSEE;33550
B_BIG76_A;Bigeau;BUS;CHAUSSEE;33312
B_DUC88_R;Pont de la Maye;BUS;CHAUSSEE_ACCESS;33550
B_CLE88_R;Clemenceau;BUS;CHAUSSEE;33550
B_PAG88_A;Pagnol;BUS;CHAUSSEE;33550
B_GAL28_A;Galin;BUS;CHAUSSEE_ACCESS;33063
B_DVI32_A;Docteur Vincent;BUS;CHAUSSEE;33063
B_TBOU32;Bouliac Centre Commercial;BUS;HS_INTEGRAL;33065
B_PCA28_A;Piscine Galin;BUS;CHAUSSEE_ACCESS;33063
B_RAC92_R;Racine;BUS;CHAUSSEE;33096
B_DOU92_A;Quai Français;BUS;CHAUSSEE;33032
B_ZCA11_A;Toussaint Catros;BUS;CHAUSSEE;33200
B_ZCA11_R;Toussaint Catros;BUS;CHAUSSEE;33200
B_TBE11_R;Beaudésert;BUS;CHAUSSEE_ACCESS;33281
B_BEA92_A;Centre de Secours;BUS;CHAUSSEE_ACCESS;33032
B_STJ11_A;Gare St Jean;BUS;VOIE_PROTEGEE;33063
B_GBA92_A;Gare de Bassens;BUS;CHAUSSEE;33032
B_GSJEAN;Gare St Jean;BUS;TERMINUS;33063
B_JEU16_R;Jeunesse;BUS;CHAUSSEE;33281
B_DOU92_R;Quai Français;BUS;CHAUSSEE;33032
T_FLEURI_A;Bois Fleuri;TRAM;QUAI;33249
T_GRAV_A;Gravieres;TRAM;QUAI;33249
T_GRAV_R;Gravieres;TRAM;QUAI;33249
T_IRIS_A;Iris;TRAM;QUAI;33249
T_MORL_R;La Morlette;TRAM;QUAI;33119
T_PALMER_A;Palmer;TRAM;QUAI;33119
T_GALIN_A;Galin;TRAM;QUAI;33063
T_BENAUG_A;Thiers-Benauge;TRAM;QUAI;33063
T_BENAUG_R;Thiers-Benauge;TRAM;QUAI;33063
