IDENT;LIBELLE;VEHICULE;VOIRIE;INSEE
B_LDV36_A;Léonard de Vinci;BUS;CHAUSSEE;33318
B_CAR87_R;Cardinal;BUS;CHAUSSEE_ACCESS;33318
B_LFA04_R;Faure - Brunet;BUS;CHAUSSEE_ACCESS;33063
B_BASS04;Bassins à Flot;BUS;CHAUSSEE_ACCESS;33063
B_BME09_R;Barrière du Médoc;BUS;CHAUSSEE_ACCESS;33063
B_TFON22;Fontanieu;BUS;CHAUSSEE;33312
B_ARD22_R;Ardillères;BUS;CHAUSSEE;33312
B_LIS77_R;Lisière du Vignoble;BUS;CHAUSSEE;33312
B_CRO11_R;Cérons;BUS;CHAUSSEE;33273
B_PRAV33;Place Ravezies;BUS;HS_INTEGRAL;33063
B_FER41_A;Ferry;BUS;CHAUSSEE;33063
B_MOS41_A;Place Moscou;BUS;CHAUSSEE;33063
B_CHA41_A;Place Ozanam;BUS;CHAUSSEE;33063
B_LES41_R;Lestonnat;BUS;CHAUSSEE;33063
B_SBA41_R;Stade Batany;BUS;CHAUSSEE;33063
B_ALF10_A;Arena;BUS;CHAUSSEE_ACCESS;33167
B_CCBO10;Bouliac Centre Commercial;BUS;HS_INTEGRAL;33065
B_GOL37_A;Golf de Bordeaux;BUS;CHAUSSEE;33063
B_JVI29_A;Jean Villar;BUS;CHAUSSEE;33075
B_PRE46_R;Préceinte;BUS;CHAUSSEE;33069
B_MBO46_A;Ermitage;BUS;CHAUSSEE;33069
B_LYC56_A;Maurian;BUS;CHAUSSEE_ACCESS;33056
B_LEN15_R;Lénine;BUS;CHAUSSEE;33039
B_RAM93_A;La Ramade;BUS;HS_INTEGRAL;33249
B_DUB26_R;Dubourdieu;BUS;CHAUSSEE;33063
B_BER26_R;Bergonié;BUS;CHAUSSEE_ACCESS;33063
B_MOZ86_A;Mozart;BUS;CHAUSSEE;33192
B_MOZ86_R;Mozart;BUS;CHAUSSEE;33192
B_LRICO;La Ricodonne;BUS;CHAUSSEE;33003
B_TEM29_R;Les Templiers;BUS;CHAUSSEE;33075
B_GDA35_R;Grand Darnal;BUS;CHAUSSEE;33075
B_GDA35_A;Grand Darnal;BUS;CHAUSSEE;33075
B_MVI46_R;R.P.A Mieux Vivre;BUS;HS_SEMI_INTEGRE;33069
B_MVI46_A;R.P.A Mieux Vivre;BUS;HS_SEMI_INTEGRE;33069
B_BOU46_A;Boutaut;BUS;CHAUSSEE;33069
B_TUJ57_R;Tujean;BUS;CHAUSSEE_ACCESS;33056
B_LXB37_R;Luxembourg;BUS;CHAUSSEE;33056
B_GIL37_A;Gilamon;BUS;HS_INTEGRAL;33056
B_STA10_A;Stalingrad;BUS;CHAUSSEE;33063
B_TBE10_A;Thiers-Benauge;BUS;CHAUSSEE;33063
B_PJA37_A;Parc des Jalles;BUS;CHAUSSEE;33056
B_PFL02_R;Place Florale;BUS;TERMINUS;33162
B_BEC30_R;Bechade;BUS;CHAUSSEE;33200
B_DUB32_R;Du Bellay;BUS;CHAUSSEE_ACCESS;33249
B_DUB32_A;Du Bellay;BUS;CHAUSSEE_ACCESS;33249
B_HAU32_R;Hautefort;BUS;CHAUSSEE_ACCESS;33249
B_FRO16_A;Tassigny;BUS;CHAUSSEE;33281
B_CHD16_R;Centre des Impôts;BUS;CHAUSSEE;33281
B_SGN11_R;La Belle Rose;BUS;CHAUSSEE;33039
B_SGN11_A;La Belle Rose;BUS;CHAUSSEE;33039
B_CAZ23_A;Cazalet;BUS;CHAUSSEE;33318
B_CMEDOC;Cours du Médoc;BUS;CHAUSSEE;33063
B_GEI48_A;Volta;BUS;CHAUSSEE;33281
B_BRE39_R;Breillan;BUS;CHAUSSEE;33519
B_ARC33_R;Arc-en-Ciel;BUS;CHAUSSEE;33075
B_HAS71_R;Hastignan Bourg;BUS;CHAUSSEE;33449
B_HAS71_A;Hastignan Bourg;BUS;CHAUSSEE;33449
B_HIL37_A;Hilsz;BUS;CHAUSSEE;33449
B_VHA43_A;Lycée Václav Havel;BUS;CHAUSSEE_ACCESS;33039
B_GES71_R;Gestform;BUS;CHAUSSEE;33281
B_TBO11_A;Terres de Borde;BUS;CHAUSSEE;33063
B_CVE11_R;Carle Vernet;BUS;CHAUSSEE;33063
B_CVE11_A;Carle Vernet;BUS;CHAUSSEE;33063
B_BER37_R;Berges du Lac;BUS;AUTRE;33063
B_BFL45_A;La Cité du Vin;BUS;CHAUSSEE;33063
B_BEL11_A;Bellevue;BUS;AUTRE;33281
B_HES11_A;Hestigeac;BUS;HS_INTEGRAL;33281
B_MAG11_A;Marchegay;BUS;HS_INTEGRAL;33273
B_BOR11_A;Colonel Bourgoin;BUS;HS_INTEGRAL;33273
B_ALI11_R;Collège Aliénor d'Aquitaine;BUS;CHAUSSEE;33273
B_NAU11_A;Nauplie;BUS;CHAUSSEE;33273
B_NAU11_R;Nauplie;BUS;CHAUSSEE;33273
B_CAS57_R;Castillon;BUS;CHAUSSEE;33069
B_ARB58_A;Carrière de Bos;BUS;CHAUSSEE;33312
B_ARB58_R;Carrière de Bos;BUS;CHAUSSEE;33312
B_LIB90_R;Liberté;BUS;CHAUSSEE;33032
B_TIL93_R;Le Tillac;BUS;CHAUSSEE;33003
B_ECM63_R;Echangeur du Moulinat;BUS;CHAUSSEE;33013
B_JJA06_R;Jean Jaurès;BUS;CHAUSSEE;33167
B_VAU22_R;Vaucouleurs;BUS;CHAUSSEE_ACCESS;33063
B_MFL08_A;Mairie de Floirac;BUS;CHAUSSEE;33167
B_ABO94_R;Avenue de Bordeaux;BUS;HS_INTEGRAL;33096
B_ASC07_A;Les Pelouses d'Ascot;BUS;CHAUSSEE;33065
B_TRA05_R;Boulevard Trarieux;BUS;CHAUSSEE_ACCESS;33063
B_CLP94_R;Clos du Prieuré;BUS;HS_INTEGRAL;33003
B_LIN73_R;Lindbergh;BUS;CHAUSSEE;33281
B_SAG94_R;Sabarèges;BUS;CHAUSSEE;33003
B_ETO07_A;Mélac;BUS;CHAUSSEE;33065
B_MCE73_R;Mérignac Centre (Médiathèque);BUS;CHAUSSEE_ACCESS;33281
B_FAU94_R;Faulat;BUS;CHAUSSEE;33003
B_LAF08_A;Laffargue;BUS;CHAUSSEE;33167
B_PRA36_A;Allée de la Prairie;BUS;CHAUSSEE;33281
B_NOU02_R;Noutary;BUS;CHAUSSEE;33039
B_BAR09_A;Barrière d'Arès;BUS;CHAUSSEE;33063
B_BMED9_A;Barrière du Médoc;BUS;CHAUSSEE;33063
B_RAV09_R;Place Ravezies;BUS;CHAUSSEE;33063
B_TIVO9_R;Tivoli;BUS;CHAUSSEE_ACCESS;33063
B_BMED9_R;Carnot;BUS;CHAUSSEE;33063
B_CAR09_R;Carros;BUS;CHAUSSEE;33063
B_JEAH9_R;Jean Hameau;BUS;CHAUSSEE_ACCESS;33063
B_E2M05_R;Entre-Deux-Mers;BUS;HS_INTEGRAL;33119
B_SNI20_A;St Nicolas;BUS;CHAUSSEE;33063
B_KER20_A;Kergomard;BUS;HS_SEMI_INTEGRE;33063
B_DEL51_A;Gabriel Delaunay;BUS;CHAUSSEE;33063
B_SEU51_R;St Seurin;BUS;CHAUSSEE;33063
B_MDQ45_R;La Médoquine;BUS;HS_ACCES;33063
B_MEU16_A;Meunier;BUS;CHAUSSEE;33063
B_GAM04_A;Gambetta;BUS;CHAUSSEE_ACCESS;33063
B_CMU34_A;Clinique Mutualiste;BUS;HS_SEMI_INTEGRE;33318
B_CMU34_R;Clinique Mutualiste;BUS;CHAUSSEE;33318
B_ETC13_A;Etchénique;BUS;CHAUSSEE_ACCESS;33063
B_MME50_R;Mairie de Mérignac;BUS;CHAUSSEE;33281
B_PIN13_R;Allée des Pins;BUS;CHAUSSEE;33063
B_BAR13_R;Barrière d'Arès;BUS;CHAUSSEE_ACCESS;33063
B_GOU50_R;Gouraud;BUS;CHAUSSEE;33281
B_MON23_R;Monbalon 2;BUS;HS_INTEGRAL;33318
B_SCH02_R;Schweitzer;BUS;HS_INTEGRAL;33550
B_LMA53_R;Lamartine;BUS;CHAUSSEE_ACCESS;33449
B_PBR62_A;Brossolette;BUS;CHAUSSEE;33119
B_EUR15_A;Place de l'Europe;BUS;CHAUSSEE_ACCESS;33063
B_CAM62_A;Camparian;BUS;CHAUSSEE;33119
B_SAR21_R;Sarcignan;BUS;CHAUSSEE_ACCESS;33550
B_GLU32_R;Gay Lussac;BUS;SURELEVE;33013
B_MOU64_A;La Moune;BUS;CHAUSSEE;33013
B_GLO52_A;Le Grand Louis;BUS;CHAUSSEE;33162
B_V134_R;Village 1;BUS;VOIE_PROTEGEE;33522
B_CHA90_A;Château Pomerol;BUS;CHAUSSEE_ACCESS;33096
B_HIP54_R;Avenue du Taillan;BUS;CHAUSSEE;33162
B_CLP94_A;Clos du Prieuré;BUS;CHAUSSEE;33003
B_14J23_R;14 Juillet;BUS;CHAUSSEE;33039
B_NER34_R;Collège Pablo Neruda;BUS;CHAUSSEE;33039
B_DEH77_A;Frankton;BUS;CHAUSSEE;33056
B_BRI91_A;Brisson;BUS;CHAUSSEE;33434
B_LVE46_R;Lino Ventura;BUS;CHAUSSEE;33318
B_HON20_R;La Hontan;BUS;CHAUSSEE;33550
B_CUR37_A;Allée de Curé;BUS;CHAUSSEE;33519
B_ANS49_R;Beutre Antenne Sociale;BUS;CHAUSSEE;33281
B_MGU92_A;Moulin du Gua;BUS;CHAUSSEE;33003
B_TAN02_A;Tandonnet;BUS;CHAUSSEE;33039
B_STR51_R;Strélitzias;BUS;CHAUSSEE;33281
B_RCH52_A;Résidence Chanteclerc;BUS;CHAUSSEE;33200
B_MCE08_A;Mairie de Cenon;BUS;CHAUSSEE_ACCESS;33119
B_BOR37_A;Bois des Ormes;BUS;CHAUSSEE_ACCESS;33519
B_STAUGU;Eglise St Augustin;BUS;CHAUSSEE;33063
B_CLA40_R;Collège Lapierre;BUS;CHAUSSEE;33249
B_UMK36_R;Bruges Centre;BUS;CHAUSSEE;33075
B_HPO73_R;Mérignac Centre;BUS;CHAUSSEE;33281
B_URS36_R;URSSAF;BUS;CHAUSSEE;33075
B_ATA36_R;Avenue du Taillan;BUS;CHAUSSEE;33162
B_CRO72_A;Croustet;BUS;CHAUSSEE;33281
B_CAY77_A;Caychac Bourg;BUS;HS_INTEGRAL;33056
B_GAR58_R;Gare de Blanquefort;BUS;CHAUSSEE_ACCESS;33056
B_COL58_A;Collège de Blanquefort;BUS;CHAUSSEE;33056
B_MCA95_A;Mairie de Carbon Blanc;BUS;CHAUSSEE;33096
B_LSG38_R;Libre Service de Gros;BUS;CHAUSSEE;33063
B_PFR46_A;France-Les Castors;BUS;CHAUSSEE;33318
B_DOU27_R;Douanes Françaises;BUS;CHAUSSEE_ACCESS;33075
B_JOF20_A;Maréchal Joffre;BUS;CHAUSSEE;33550
B_MAL20_A;RPA Villa Nova;BUS;CHAUSSEE;33550
B_TAS20_R;De Lattre de Tassigny;BUS;CHAUSSEE;33550
B_SAL20_R;Sallegourde;BUS;CHAUSSEE;33550
B_PEX55_A;Pexotto;BUS;CHAUSSEE;33519
B_SOO20_R;Soors;BUS;CHAUSSEE;33550
B_TER20_R;Terrefort;BUS;CHAUSSEE;33550
B_MAL20_R;RPA Villa Nova;BUS;HS_SEMI_INTEGRE;33039
